filename,average_plddt,ranking_score,iptm,ptm,dope,soap,dockq,cpscore,interface_plddt,sc,ec,frustrate,rmsd,bsa,refine_dope
5ZNG_seed-5171218_sample-3model,84.81041633,0.89,0.81,0.76,-1.677230369,-2118.636719,0.76448758,0.567626322,79.27148359,0.608,0.133478716,82.908,0.508540154,857.908,-2.937839806852379
6A6I_seed-614460_sample-1model,83.3474832,0.86,0.8,0.75,-2.259831186,-1566.064697,0.734413716,-0.008634108,87.48699059,0.617,0.142359796,58.621,0.835596383,676.522,-4.232351614062243
6U08_seed-1485043_sample-1model,95.39496429,0.93,0.93,0.94,-2.77237762,-3218.766113,0.971979611,0.002935714,97.02463553,0.719,0.138393612,80.607,0.298882514,1148.3,-4.997189102843933
6U08_seed-6085369_sample-1model,94.93602041,0.92,0.92,0.93,-2.74382144,-3290.35498,0.96077256,0.246572347,96.16060299,0.725,0.139253848,82.406,0.319548547,1150.03,-4.931386025860921
6U08_seed-3942073_sample-1model,94.87308163,0.92,0.92,0.93,-2.729571448,-3135.249023,0.978233962,0.07856232,96.14716945,0.716,0.131693809,90.282,0.307346523,1152.87,-4.896121805058463
7D2T_seed-4738161_sample-4model,91.577649,0.89,0.9,0.84,-2.560019752,-3077.303467,0.931284071,0.389404988,92.08599494,0.682,0.119714855,41.063,0.322819769,1247.72,-4.129310484509761
6U08_seed-6892152_sample-4model,94.96457143,0.92,0.92,0.93,-2.72767249,-3122.202393,0.969354932,0.075231934,96.37569759,0.713,0.147029356,80.359,0.296927601,1140.99,-4.900303422468083
7D2T_seed-7002297_sample-2model,92.01158051,0.89,0.9,0.84,-2.580477566,-2967.76123,0.964006703,-0.037964629,91.73418941,0.68,0.138200151,48.65,0.313168883,1244.49,-4.197812758763724
6U08_seed-6085369_sample-0model,95.21467347,0.93,0.92,0.93,-2.729627644,-3205.336426,0.970524272,0.045719931,96.80393022,0.718,0.139721545,87.827,0.306596965,1167.05,-4.894727129520669
6A6I_seed-7328819_sample-1model,84.47605676,0.87,0.81,0.78,-2.398931781,-1681.806396,0.67761345,0.218705395,86.100174,0.637,0.133220559,72.477,0.740212619,750.547,-4.382641228795831
6A6I_seed-52377_sample-4model,84.39418223,0.87,0.81,0.76,-2.321623961,-1816.685791,0.641209036,0.324530412,88.99399129,0.641,0.142304115,71.081,0.529751897,672.816,-4.240404200347791
6A6I_seed-475010_sample-1model,84.3982599,0.84,0.78,0.76,-2.647572128,-1653.800781,0.797980988,-0.18272156,87.4469422,0.616,0.132355644,69.489,0.419383943,703.901,-4.843099660947406
5ZNG_seed-2111856_sample-0model,85.77184147,0.89,0.82,0.76,-1.655416742,-2071.106689,0.718354808,-0.280765641,79.00115988,0.673,0.115948649,84.314,0.288144112,811.988,-2.9269509104930225
6U08_seed-4738161_sample-0model,95.08484694,0.92,0.92,0.93,-2.743152941,-3025.037354,0.952476671,-0.125585844,96.89611006,0.705,0.141495159,86.981,0.331644982,1156.44,-4.938126690955446
7D2T_seed-3470202_sample-0model,91.91231478,0.89,0.9,0.85,-2.539240761,-3123.248291,0.918336222,-0.272021361,91.27696614,0.694,0.120178601,46.354,0.331506789,1259.34,-4.098855611875749
6U08_seed-7969324_sample-0model,94.91555612,0.92,0.92,0.93,-2.747304425,-3154.561279,0.956273609,0.251783963,96.29068068,0.723,0.141454437,90.666,0.334388494,1155.69,-4.938503497752006
7D2T_seed-2726442_sample-0model,91.60558446,0.89,0.9,0.84,-2.584875996,-3027.214355,0.973498971,-0.609979912,92.15025133,0.691,0.121026732,41.936,0.334372789,1237.74,-4.208169354892978
7D2T_seed-8574094_sample-3model,91.99668423,0.89,0.9,0.85,-2.532270264,-3071.115967,0.937624496,0.064590909,91.8235096,0.687,0.11610792,46.23,0.327476203,1257.65,-4.053020463820311
7D2T_seed-36904_sample-0model,91.45989463,0.9,0.91,0.84,-2.605624248,-3087.307617,0.568087986,-0.594960516,91.92310689,0.691,0.115107658,50.026,0.362206817,1258.33,-4.234401742650933
6A6I_seed-60188_sample-3model,83.98864824,0.86,0.81,0.76,-2.328066877,-1685.990479,0.64413528,0.416511487,86.17118131,0.586,0.132150007,56.712,0.990247607,741.235,-4.17924076525478
6IF2_seed-6892152_sample-4model,86.01455803,0.82,0.81,0.86,-3.277614582,-2969.610107,0.576271273,0.339244211,85.81804896,0.673,0.148788175,81.454,0.281016231,968.799,-6.036659951726427
6U08_seed-6786686_sample-2model,95.09436735,0.92,0.92,0.93,-2.774988005,-3301.738281,0.961109721,0.071991644,96.43804172,0.73,0.140381923,85.762,0.362413645,1162.63,-5.0039338718292745
5ZNG_seed-3213482_sample-4model,85.51954363,0.92,0.83,0.77,-1.585616466,-2168.948975,0.741308908,-0.333642196,83.33798624,0.678,0.131604743,87.024,0.334872186,832.067,-2.793103484366878
